,id,date,dateStandard,value,unit,address,coordinates,date_modified,acronimo_short
0,QA00NO0001,202104111200000000,UTC,32.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.7022, 'lng': -9.199598}",2021-04-11 12:00:00,QA00
1,QA0NO20001,202104111200000000,UTC,96.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.7022, 'lng': -9.199598}",2021-04-11 12:00:00,QA0N
2,QA00O30001,202104111200000000,UTC,96.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.7022, 'lng': -9.199598}",2021-04-11 12:00:00,QA00
3,QAPM250001,202104110000000000,UTC,4.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.7022, 'lng': -9.199598}",2021-04-11 00:00:00,QAPM
4,QAPM100001,202104110000000000,UTC,13.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.7022, 'lng': -9.199598}",2021-04-11 00:00:00,QAPM
5,QA0SO20001,202104110000000000,UTC,-99.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.7022, 'lng': -9.199598}",2021-04-11 00:00:00,QA0S
6,QA00CO0001,202104110800000000,UTC,-99.0,µg/m3,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.7022, 'lng': -9.199598}",2021-04-11 08:00:00,QA00
7,RULAEQ0001,202104111200000000,UTC,53.0,dB(A),Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.7022, 'lng': -9.199598}",2021-04-11 12:00:00,RULA
8,ME00PA0001,202104111200000000,UTC,1011.0,Mbar,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.7022, 'lng': -9.199598}",2021-04-11 12:00:00,ME00
9,ME00HR0001,202104111200000000,UTC,60.5,%,Calçada da Ajuda,"{'x': -92781, 'y': -106663, 'z': 0, 'lat': 38.7022, 'lng': -9.199598}",2021-04-11 12:00:00,ME00
